date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:00	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Dec%202018%2014:17:10%20GMT	http://alpha.laboutiquetheme.com/robots.txt		(from )
19:48:01	52266/52266	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202015%2012:38:43%20GMT	http://alpha.laboutiquetheme.com/	C:/My%20Web%20Sites/http___alpha.laboutiquetheme.com_/alpha.laboutiquetheme.com/index.html	(from )
19:48:02	122540/122540	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202015%2012:38:40%20GMT	http://alpha.laboutiquetheme.com/css/bootstrap.min.css	C:/My%20Web%20Sites/http___alpha.laboutiquetheme.com_/alpha.laboutiquetheme.com/css/bootstrap.min.css	(from http://alpha.laboutiquetheme.com/)
19:48:02	23739/23739	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202015%2012:38:40%20GMT	http://alpha.laboutiquetheme.com/css/font-awesome.min.css	C:/My%20Web%20Sites/http___alpha.laboutiquetheme.com_/alpha.laboutiquetheme.com/css/font-awesome.min.css	(from http://alpha.laboutiquetheme.com/)
19:48:03	6853/6853	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202015%2012:38:40%20GMT	http://alpha.laboutiquetheme.com/css/flexslider.css	C:/My%20Web%20Sites/http___alpha.laboutiquetheme.com_/alpha.laboutiquetheme.com/css/flexslider.css	(from http://alpha.laboutiquetheme.com/)
19:48:04	6956/6956	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202015%2012:38:40%20GMT	http://alpha.laboutiquetheme.com/js/tfingi-megamenu/tfingi-megamenu-frontend.css	C:/My%20Web%20Sites/http___alpha.laboutiquetheme.com_/alpha.laboutiquetheme.com/js/tfingi-megamenu/tfingi-megamenu-frontend.css	(from http://alpha.laboutiquetheme.com/)
19:48:07	92179/92179	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Jul%202015%2015:19:47%20GMT	http://alpha.laboutiquetheme.com/css/color-schemes/turquoise.css	C:/My%20Web%20Sites/http___alpha.laboutiquetheme.com_/alpha.laboutiquetheme.com/css/color-schemes/turquoise.css	(from http://alpha.laboutiquetheme.com/)
19:48:08	40228/40228	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202015%2012:38:43%20GMT	http://alpha.laboutiquetheme.com/login-register.html	C:/My%20Web%20Sites/http___alpha.laboutiquetheme.com_/alpha.laboutiquetheme.com/login-register.html	(from http://alpha.laboutiquetheme.com/)
19:48:09	52266/52266	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Jul%202015%2012:38:43%20GMT	http://alpha.laboutiquetheme.com/index.html	C:/My%20Web%20Sites/http___alpha.laboutiquetheme.com_/alpha.laboutiquetheme.com/index-2.html	(from http://alpha.laboutiquetheme.com/)
19:48:10	9233/9233	---M--	200	added ('OK')	image/x-icon	date:Wed,%2015%20Jul%202015%2012:38:59%20GMT	http://alpha.laboutiquetheme.com/favicon.ico	C:/My%20Web%20Sites/http___alpha.laboutiquetheme.com_/alpha.laboutiquetheme.com/favicon.ico	(from http://alpha.laboutiquetheme.com/)
19:48:10	4263/4263	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Jul%202015%2012:38:43%20GMT	http://alpha.laboutiquetheme.com/img/logo.png	C:/My%20Web%20Sites/http___alpha.laboutiquetheme.com_/alpha.laboutiquetheme.com/img/logo.png	(from http://alpha.laboutiquetheme.com/)
